Areacode,Placement,Registration,Firstscore,Convertedscore,Percentile,Letterindex
9,5 = 6,510900784,60,597,83.4,C
9,7 = 8,510901371,56,583,79.61,C
9,7 = 8,510900385,56,583,79.61,C
9,9,510900514,53,570,75.93,C
9,10,510900090,50,555,71.04,C
9,11 = 12,510900570,48,543,66.74,C-
9,11 = 12,510900586,48,543,66.74,C-
9,13,510900613,34,449,30.64,D-
9,14,510902059,30,416,20.16,D-
10,1,511000641,72,645,92.67,B-
10,2,511000254,71,639,91.83,B-
10,3,511000359,49,550,69.05,C
10,4,511000187,48,543,66.74,C-
10,5,511000458,45,528,60.92,C-
10,6,511000877,40,495,47.97,D
10,7,511000645,35,458,33.81,D
10,8,511000317,34,449,30.64,D-
10,9,511000903,29,408,17.99,D-
10,10,511000908,26,385,12.28,F
10,11,511000202,21,332,4.67,F
11,1,511111143,95,800,99.88,A
11,2,511111200,90,739,99.15,A-
11,3 = 4,511112363,72,645,92.67,B-
11,3 = 4,511112618,72,645,92.67,B-
11,5,511111851,71,639,91.83,B-
11,6,511111685,69,632,90.65,B-
11,7,511112168,68,630,90.25,B-
11,8 = 9,511112589,66,621,88.77,B-
11,8 = 9,511111260,66,621,88.77,B-
11,10,511112541,64,612,87.12,B-
11,11,511111933,63,609,86.2,B-
11,12,511111750,62,605,85.39,B-
11,13,511111713,57,585,80.35,C
11,14 = 15,511111935,56,583,79.61,C
11,14 = 15,511113522,56,583,79.61,C
11,16,511111474,54,576,77.55,C
11,17,511111680,48,543,66.74,C-
11,18,511112632,46,532,62.58,C-
11,19,511112166,43,516,56.25,C-
11,20,511111520,35,458,33.81,D
11,21,511112163,34,449,30.64,D-
11,22,511111981,33,440,27.29,D-
11,23,511111867,29,408,17.99,D-
11,24,511113513,27,393,14.31,F
11,25,511112640,26,385,12.28,F
12,1,511201900,81,689,97.05,B
12,2,511200736,78,676,96.06,B
12,3,511200041,71,639,91.83,B-
12,4 = 5,511202435,64,612,87.12,B-
12,4 = 5,511202596,64,612,87.12,B-
12,6 = 7,511200003,60,597,83.4,C
12,6 = 7,511201384,60,597,83.4,C
12,8,511201323,58,588,81.19,C
12,9,511200623,52,566,74.39,C
12,10 = 11,511200315,51,561,72.88,C
12,10 = 11,511201910,51,561,72.88,C
12,12,511200541,46,532,62.58,C-
12,13,511200464,45,528,60.92,C-
12,14 = 17,511200192,43,516,56.25,C-
12,14 = 17,511200688,43,516,56.25,C-
12,14 = 17,511201848,43,516,56.25,C-
12,14 = 17,511202028,43,516,56.25,C-
12,18 = 20,511201997,42,509,53.56,C-
12,18 = 20,511201912,42,509,53.56,C-
12,18 = 20,511202824,42,509,53.56,C-
12,21,511202046,41,502,50.99,C-
12,22 = 23,511203455,40,495,47.97,D
12,22 = 23,511200243,40,495,47.97,D
12,24 = 26,511201799,38,480,41.9,D
12,24 = 26,511203372,38,480,41.9,D
12,24 = 26,511202010,38,480,41.9,D
12,27,511201708,37,472,38.96,D
12,28,511202088,35,458,33.81,D
12,29,511200020,33,440,27.29,D-
12,30,511202823,31,423,22.18,D-
12,31,511200413,29,408,17.99,D-
