Areacode,Placement,Registration,Firstscore,Convertedscore,Percentile,Letterindex
1,136 = 144,510100965,49,594,82.58,C
1,136 = 144,510101293,49,594,82.58,C
1,136 = 144,510102094,49,594,82.58,C
1,145 = 152,510102035,48,590,81.52,C
1,145 = 152,510101333,48,590,81.52,C
1,145 = 152,510101379,48,590,81.52,C
1,145 = 152,510101787,48,590,81.52,C
1,145 = 152,510100934,48,590,81.52,C
1,145 = 152,510100878,48,590,81.52,C
1,145 = 152,510100851,48,590,81.52,C
1,145 = 152,510100860,48,590,81.52,C
1,153 = 158,510100909,47,586,80.38,C
1,153 = 158,510101829,47,586,80.38,C
1,153 = 158,510101443,47,586,80.38,C
1,153 = 158,510101324,47,586,80.38,C
1,153 = 158,510100581,47,586,80.38,C
1,153 = 158,510100838,47,586,80.38,C
1,159 = 169,510100001,46,581,79.12,C
1,159 = 169,510101834,46,581,79.12,C
1,159 = 169,510101803,46,581,79.12,C
1,159 = 169,510101524,46,581,79.12,C
1,159 = 169,510100874,46,581,79.12,C
1,159 = 169,510101033,46,581,79.12,C
1,159 = 169,510101211,46,581,79.12,C
1,159 = 169,510101243,46,581,79.12,C
1,159 = 169,510101196,46,581,79.12,C
1,159 = 169,510102172,46,581,79.12,C
1,159 = 169,510102131,46,581,79.12,C
1,170 = 175,510102467,45,577,77.79,C
1,170 = 175,510101167,45,577,77.79,C
1,170 = 175,510101457,45,577,77.79,C
1,170 = 175,510100842,45,577,77.79,C
1,170 = 175,510100754,45,577,77.79,C
1,170 = 175,510100540,45,577,77.79,C
1,176 = 187,510100461,44,572,76.36,C
1,176 = 187,510100585,44,572,76.36,C
1,176 = 187,510100637,44,572,76.36,C
1,176 = 187,510100708,44,572,76.36,C
1,176 = 187,510100392,44,572,76.36,C
1,176 = 187,510101498,44,572,76.36,C
1,176 = 187,510101700,44,572,76.36,C
1,176 = 187,510101299,44,572,76.36,C
1,176 = 187,510101302,44,572,76.36,C
1,176 = 187,510100966,44,572,76.36,C
1,176 = 187,510102116,44,572,76.36,C
1,176 = 187,510102085,44,572,76.36,C
1,188 = 202,510101991,43,567,74.91,C
1,188 = 202,510102491,43,567,74.91,C
1,188 = 202,510100971,43,567,74.91,C
1,188 = 202,510100955,43,567,74.91,C
1,188 = 202,510100858,43,567,74.91,C
1,188 = 202,510101305,43,567,74.91,C
1,188 = 202,510101355,43,567,74.91,C
1,188 = 202,510101365,43,567,74.91,C
1,188 = 202,510101707,43,567,74.91,C
1,188 = 202,510101597,43,567,74.91,C
1,188 = 202,510100032,43,567,74.91,C
1,188 = 202,510100697,43,567,74.91,C
1,188 = 202,510100645,43,567,74.91,C
1,188 = 202,510100569,43,567,74.91,C
1,188 = 202,510100531,43,567,74.91,C
1,203 = 212,510100528,42,562,73.37,C
1,203 = 212,510100425,42,562,73.37,C
1,203 = 212,510100663,42,562,73.37,C
1,203 = 212,510100825,42,562,73.37,C
1,203 = 212,510100163,42,562,73.37,C
1,203 = 212,510100359,42,562,73.37,C
1,203 = 212,510101730,42,562,73.37,C
1,203 = 212,510100870,42,562,73.37,C
1,203 = 212,510101127,42,562,73.37,C
1,203 = 212,510102374,42,562,73.37,C
1,213 = 228,510102276,41,556,71.65,C
1,213 = 228,510102019,41,556,71.65,C
1,213 = 228,510100869,41,556,71.65,C
1,213 = 228,510100850,41,556,71.65,C
1,213 = 228,510100990,41,556,71.65,C
1,213 = 228,510101722,41,556,71.65,C
1,213 = 228,510101796,41,556,71.65,C
1,213 = 228,510101366,41,556,71.65,C
1,213 = 228,510101343,41,556,71.65,C
1,213 = 228,510101403,41,556,71.65,C
1,213 = 228,510101426,41,556,71.65,C
1,213 = 228,510101318,41,556,71.65,C
1,213 = 228,510100225,41,556,71.65,C
1,213 = 228,510100527,41,556,71.65,C
1,213 = 228,510100554,41,556,71.65,C
1,213 = 228,510100632,41,556,71.65,C
1,229 = 242,510100800,40,552,69.79,C
1,229 = 242,510100726,40,552,69.79,C
1,229 = 242,510100168,40,552,69.79,C
1,229 = 242,510100029,40,552,69.79,C
1,229 = 242,510100055,40,552,69.79,C
1,229 = 242,510100078,40,552,69.79,C
1,229 = 242,510100390,40,552,69.79,C
1,229 = 242,510100302,40,552,69.79,C
1,229 = 242,510100317,40,552,69.79,C
1,229 = 242,510100313,40,552,69.79,C
1,229 = 242,510100250,40,552,69.79,C
1,229 = 242,510101772,40,552,69.79,C
1,229 = 242,510101496,40,552,69.79,C
1,229 = 242,510102061,40,552,69.79,C
1,243 = 253,510101259,39,546,67.76,C-
1,243 = 253,510101385,39,546,67.76,C-
1,243 = 253,510100968,39,546,67.76,C-
1,243 = 253,510101018,39,546,67.76,C-
1,243 = 253,510100278,39,546,67.76,C-
1,243 = 253,510100316,39,546,67.76,C-
1,243 = 253,510100373,39,546,67.76,C-
1,243 = 253,510100743,39,546,67.76,C-
1,243 = 253,510100681,39,546,67.76,C-
1,243 = 253,510100459,39,546,67.76,C-
1,243 = 253,510100440,39,546,67.76,C-
1,254 = 263,510100558,38,540,65.51,C-
1,254 = 263,510100830,38,540,65.51,C-
1,254 = 263,510100397,38,540,65.51,C-
1,254 = 263,510100276,38,540,65.51,C-
1,254 = 263,510100206,38,540,65.51,C-
1,254 = 263,510100212,38,540,65.51,C-
1,254 = 263,510100980,38,540,65.51,C-
1,254 = 263,510100925,38,540,65.51,C-
1,254 = 263,510101315,38,540,65.51,C-
1,254 = 263,510101682,38,540,65.51,C-
1,264 = 283,510101648,37,533,63.04,C-
1,264 = 283,510101888,37,533,63.04,C-
1,264 = 283,510101690,37,533,63.04,C-
1,264 = 283,510101441,37,533,63.04,C-
1,264 = 283,510100951,37,533,63.04,C-
1,264 = 283,510100942,37,533,63.04,C-
1,264 = 283,510100962,37,533,63.04,C-
1,264 = 283,510101001,37,533,63.04,C-
1,264 = 283,510101227,37,533,63.04,C-
1,264 = 283,510100145,37,533,63.04,C-
1,264 = 283,510100030,37,533,63.04,C-
1,264 = 283,510100306,37,533,63.04,C-
1,264 = 283,510100307,37,533,63.04,C-
1,264 = 283,510100337,37,533,63.04,C-
1,264 = 283,510100793,37,533,63.04,C-
1,264 = 283,510100714,37,533,63.04,C-
1,264 = 283,510100584,37,533,63.04,C-
1,264 = 283,510100550,37,533,63.04,C-
1,264 = 283,510100438,37,533,63.04,C-
1,264 = 283,510102050,37,533,63.04,C-
1,284 = 299,510101965,36,526,60.38,C-
1,284 = 299,510102274,36,526,60.38,C-
1,284 = 299,510100447,36,526,60.38,C-
1,284 = 299,510100648,36,526,60.38,C-
1,284 = 299,510100587,36,526,60.38,C-
1,284 = 299,510100675,36,526,60.38,C-
1,284 = 299,510100655,36,526,60.38,C-
1,284 = 299,510100356,36,526,60.38,C-
1,284 = 299,510100226,36,526,60.38,C-
1,284 = 299,510101202,36,526,60.38,C-
1,284 = 299,510100914,36,526,60.38,C-
1,284 = 299,510100907,36,526,60.38,C-
1,284 = 299,510101449,36,526,60.38,C-
1,284 = 299,510101396,36,526,60.38,C-
1,284 = 299,510101897,36,526,60.38,C-
1,284 = 299,510101530,36,526,60.38,C-
1,300 = 308,510101587,35,519,57.5,C-
1,300 = 308,510100877,35,519,57.5,C-
1,300 = 308,510100936,35,519,57.5,C-
1,300 = 308,510101150,35,519,57.5,C-
1,300 = 308,510101035,35,519,57.5,C-
1,300 = 308,510100223,35,519,57.5,C-
1,300 = 308,510100661,35,519,57.5,C-
1,300 = 308,510100643,35,519,57.5,C-
1,300 = 308,510102520,35,519,57.5,C-
1,309 = 323,510101950,34,511,54.39,C-
1,309 = 323,510100564,34,511,54.39,C-
1,309 = 323,510100547,34,511,54.39,C-
1,309 = 323,510100671,34,511,54.39,C-
1,309 = 323,510100756,34,511,54.39,C-
1,309 = 323,510100210,34,511,54.39,C-
1,309 = 323,510100018,34,511,54.39,C-
1,309 = 323,510100129,34,511,54.39,C-
1,309 = 323,510100308,34,511,54.39,C-
1,309 = 323,510101119,34,511,54.39,C-
1,309 = 323,510101560,34,511,54.39,C-
1,309 = 323,510101866,34,511,54.39,C-
1,309 = 323,510101725,34,511,54.39,C-
1,309 = 323,510101347,34,511,54.39,C-
1,309 = 323,510101349,34,511,54.39,C-
1,324 = 335,510101291,33,503,51.23,C-
1,324 = 335,510101268,33,503,51.23,C-
1,324 = 335,510100917,33,503,51.23,C-
1,324 = 335,510100376,33,503,51.23,C-
1,324 = 335,510100118,33,503,51.23,C-
1,324 = 335,510100150,33,503,51.23,C-
1,324 = 335,510100821,33,503,51.23,C-
1,324 = 335,510100811,33,503,51.23,C-
1,324 = 335,510100718,33,503,51.23,C-
1,324 = 335,510100575,33,503,51.23,C-
1,324 = 335,510102101,33,503,51.23,C-
1,324 = 335,510102489,33,503,51.23,C-
1,336 = 349,510102427,32,495,48.02,D
1,336 = 349,510100437,32,495,48.02,D
1,336 = 349,510100143,32,495,48.02,D
1,336 = 349,510100299,32,495,48.02,D
1,336 = 349,510100244,32,495,48.02,D
1,336 = 349,510100944,32,495,48.02,D
1,336 = 349,510100880,32,495,48.02,D
1,336 = 349,510100865,32,495,48.02,D
1,336 = 349,510101337,32,495,48.02,D
1,336 = 349,510101348,32,495,48.02,D
1,336 = 349,510101397,32,495,48.02,D
1,336 = 349,510101430,32,495,48.02,D
1,336 = 349,510101718,32,495,48.02,D
1,336 = 349,510101711,32,495,48.02,D
1,350 = 376,510101696,31,486,44.52,D
1,350 = 376,510101472,31,486,44.52,D
1,350 = 376,510101581,31,486,44.52,D
1,350 = 376,510101658,31,486,44.52,D
1,350 = 376,510101408,31,486,44.52,D
1,350 = 376,510101410,31,486,44.52,D
1,350 = 376,510101339,31,486,44.52,D
1,350 = 376,510101331,31,486,44.52,D
1,350 = 376,510101272,31,486,44.52,D
1,350 = 376,510100873,31,486,44.52,D
1,350 = 376,510100943,31,486,44.52,D
1,350 = 376,510101005,31,486,44.52,D
1,350 = 376,510101231,31,486,44.52,D
1,350 = 376,510100251,31,486,44.52,D
1,350 = 376,510100353,31,486,44.52,D
1,350 = 376,510100183,31,486,44.52,D
1,350 = 376,510100077,31,486,44.52,D
1,350 = 376,510100417,31,486,44.52,D
1,350 = 376,510100570,31,486,44.52,D
1,350 = 376,510100555,31,486,44.52,D
1,350 = 376,510100590,31,486,44.52,D
1,350 = 376,510100763,31,486,44.52,D
1,350 = 376,510100774,31,486,44.52,D
1,350 = 376,510102439,31,486,44.52,D
1,350 = 376,510102423,31,486,44.52,D
