Areacode,Placement,Registration,Firstscore,Convertedscore,Percentile,Letterindex
11,18 = 19,511111736,48,460,34.33,D
11,20,511112013,38,398,15.47,F
11,21,511113510,27,329,4.33,F
12,1,511200858,98,800,99.94,A
12,2,511200809,96,750,99.38,A
12,3,511200076,88,671,95.62,B
12,4,511200462,87,664,94.92,B
12,5,511202880,86,661,94.67,B
12,6,511202407,85,654,93.83,B
12,7 = 9,511202986,80,621,88.6,B-
12,7 = 9,511200175,80,621,88.6,B-
12,7 = 9,511203018,80,621,88.6,B-
12,10,511203575,79,612,87.13,B-
12,11,511202003,78,609,86.25,B-
12,12,511201426,75,592,82.17,C
12,13 = 14,511202060,74,587,80.83,C
12,13 = 14,511200192,74,587,80.83,C
12,15 = 16,511200042,72,577,78.01,C
12,15 = 16,511202857,72,577,78.01,C
12,17,511201162,68,561,72.97,C
12,18,511200412,59,521,58.37,C-
12,19,511200813,57,511,54.25,C-
12,20,511202025,56,506,52.51,C-
12,21,511200398,55,501,50.32,C-
12,22 = 23,511203008,54,495,47.91,D
12,22 = 23,511201683,54,495,47.91,D
12,24,511202433,52,481,42.38,D
12,25 = 26,511201895,51,475,40.26,D
12,25 = 26,511200108,51,475,40.26,D
12,27 = 28,511201984,50,472,38.77,D
12,27 = 28,511201805,50,472,38.77,D
12,29 = 32,511200435,49,467,36.88,D
12,29 = 32,511201843,49,467,36.88,D
12,29 = 32,511202010,49,467,36.88,D
12,29 = 32,511201144,49,467,36.88,D
12,33,511203806,48,460,34.33,D
12,34,511201170,45,441,27.91,D-
12,35 = 37,511201416,42,422,21.79,D-
12,35 = 37,511200072,42,422,21.79,D-
12,35 = 37,511203377,42,422,21.79,D-
12,38,511201842,40,411,18.74,D-
12,39,511203783,39,406,17.36,D-
12,40,511201985,37,391,13.72,F
12,41 = 42,511200422,35,377,10.89,F
12,41 = 42,511200555,35,377,10.89,F
12,43,511203484,34,370,9.73,F
12,44 = 45,511200433,31,353,7.08,F
12,44 = 45,511201457,31,353,7.08,F
12,46,511204255,22,298,2.19,F
13,1,511300211,96,750,99.38,A
13,2,511300896,89,680,96.41,B
13,3,511302147,77,604,85.13,B-
13,4 = 5,511302108,76,597,83.43,C
13,4 = 5,511300205,76,597,83.43,C
13,6,511300827,75,592,82.17,C
13,7,511300416,71,572,76.48,C
13,8,511300825,70,569,75.4,C
13,9,511301671,66,553,70.07,C
13,10 = 11,511300839,65,548,68.35,C-
13,10 = 11,511301486,65,548,68.35,C-
13,12 = 13,511301550,64,543,66.67,C-
13,12 = 13,511301244,64,543,66.67,C-
13,14,511300962,63,539,65.11,C-
13,15,511300963,61,530,61.6,C-
13,16 = 17,511300510,60,525,60,C-
13,16 = 17,511301569,60,525,60,C-
13,18,511300882,59,521,58.37,C-
13,19,511302011,53,487,44.82,D
13,20,511301582,52,481,42.38,D
13,21,511301535,51,475,40.26,D
13,22,511300971,49,467,36.88,D
13,23 = 24,511302055,46,448,30.11,D-
13,23 = 24,511302211,46,448,30.11,D-
13,25,511301604,44,434,25.43,D-
13,26,511300490,42,422,21.79,D-
13,27,511301561,32,361,8.18,F
14,1,511400751,88,671,95.62,B
14,2,511400094,83,638,91.64,B-
14,3,511400214,82,633,90.85,B-
14,4,511400269,74,587,80.83,C
14,5 = 6,511400523,73,582,79.48,C
14,5 = 6,511400179,73,582,79.48,C
14,7,511400005,67,557,71.79,C
14,8,511400164,64,543,66.67,C-
14,9,511400146,59,521,58.37,C-
14,10,511400268,47,453,31.98,D
14,11,511400307,46,448,30.11,D-
14,12,511400261,42,422,21.79,D-
15,1,511500547,75,592,82.17,C
15,2,511500137,72,577,78.01,C
15,3,511500157,67,557,71.79,C
15,4,511500348,66,553,70.07,C
15,5 = 6,511500168,60,525,60,C-
15,5 = 6,511500505,60,525,60,C-
15,7 = 8,511501474,58,516,56.33,C-
15,7 = 8,511500010,58,516,56.33,C-
15,9 = 10,511500155,56,506,52.51,C-
15,9 = 10,511501329,56,506,52.51,C-
15,11,511501012,55,501,50.32,C-
15,12,511500154,52,481,42.38,D
15,13,511500614,49,467,36.88,D
15,14 = 15,511500313,48,460,34.33,D
15,14 = 15,511500403,48,460,34.33,D
15,16,511500175,44,434,25.43,D-
15,17 = 18,511501572,38,398,15.47,F
15,17 = 18,511502034,38,398,15.47,F
15,19 = 20,511502011,35,377,10.89,F
15,19 = 20,511501333,35,377,10.89,F
16,1,511601387,85,654,93.83,B
16,2,511601064,71,572,76.48,C
16,3 = 4,511600497,66,553,70.07,C
16,3 = 4,511601535,66,553,70.07,C
16,5,511601544,50,472,38.77,D
16,6 = 7,511601339,44,434,25.43,D-
16,6 = 7,511601916,44,434,25.43,D-
16,8 = 9,511600983,42,422,21.79,D-
16,8 = 9,511601834,42,422,21.79,D-
17,1,511700661,90,688,97.02,B
17,2 = 3,511700273,79,612,87.13,B-
17,2 = 3,511700636,79,612,87.13,B-
17,4,511700398,76,597,83.43,C
17,5,511700711,71,572,76.48,C
17,6,511700432,69,566,74.4,C
17,7,511702360,67,557,71.79,C
17,8,511700696,61,530,61.6,C-
17,9,511700779,58,516,56.33,C-
17,10,511701743,57,511,54.25,C-
17,11,511700693,44,434,25.43,D-
17,12,511701300,41,415,19.82,D-
17,13,511700299,40,411,18.74,D-
17,14,511700419,39,406,17.36,D-
17,15,511700428,37,391,13.72,F
17,16,511702826,36,385,12.23,F
17,17 = 18,511702962,34,370,9.73,F
17,17 = 18,511700008,34,370,9.73,F
17,19,511701045,33,367,9.16,F
17,20,511701767,31,353,7.08,F
17,21,511702609,25,316,3.26,F
17,22,511702624,22,298,2.19,F
17,23,511702607,20,284,1.54,F
17,24,511702610,15,250,0.62,F
18,1 = 2,511800171,92,704,97.95,A-
18,1 = 2,511801110,92,704,97.95,A-
18,3,511800162,90,688,97.02,B
18,4 = 5,511800054,77,604,85.13,B-
18,4 = 5,511800173,77,604,85.13,B-
18,6,511800292,75,592,82.17,C
18,7,511800134,66,553,70.07,C
18,8,511800529,64,543,66.67,C-
18,9,511800512,62,534,63.37,C-
18,10,511801473,59,521,58.37,C-
18,11,511800227,58,516,56.33,C-
18,12,511800137,54,495,47.91,D
18,13,511800155,52,481,42.38,D
18,14,511800152,51,475,40.26,D
18,15,511800256,48,460,34.33,D
18,16 = 17,511800116,46,448,30.11,D-
18,16 = 17,511800241,46,448,30.11,D-
18,18,511800527,43,428,23.45,D-
18,19,511800437,39,406,17.36,D-
18,20,511800869,33,367,9.16,F
18,21,511800135,32,361,8.18,F
19,1,511901986,89,680,96.41,B
19,2 = 3,511901814,88,671,95.62,B
19,2 = 3,511900943,88,671,95.62,B
19,4,511901171,86,661,94.67,B
19,5 = 6,511900605,84,647,92.93,B-
19,5 = 6,511901468,84,647,92.93,B-
19,7,511901746,81,628,89.92,B-
19,8,511901108,77,604,85.13,B-
19,9,511901695,74,587,80.83,C
19,10 = 11,511901568,72,577,78.01,C
19,10 = 11,511902451,72,577,78.01,C
19,12,511900355,69,566,74.4,C
19,13,511900807,67,557,71.79,C
19,14 = 15,511901374,62,534,63.37,C-
19,14 = 15,511902088,62,534,63.37,C-
19,16,511900333,60,525,60,C-
19,17 = 19,511900851,59,521,58.37,C-
19,17 = 19,511902751,59,521,58.37,C-
19,17 = 19,511903705,59,521,58.37,C-
19,20,511902368,57,511,54.25,C-
19,21 = 22,511901442,56,506,52.51,C-
19,21 = 22,511903241,56,506,52.51,C-
19,23,511901332,55,501,50.32,C-
19,24,511900367,54,495,47.91,D
19,25,511903488,53,487,44.82,D
19,26,511903220,47,453,31.98,D
19,27,511902491,46,448,30.11,D-
19,28 = 29,511900052,42,422,21.79,D-
19,28 = 29,511900141,42,422,21.79,D-
19,30 = 31,511900120,39,406,17.36,D-
19,30 = 31,511903207,39,406,17.36,D-
19,32,511902165,38,398,15.47,F
19,33,511902285,37,391,13.72,F
19,34 = 35,511900560,36,385,12.23,F
19,34 = 35,511900216,36,385,12.23,F
19,36 = 37,511900097,33,367,9.16,F
19,36 = 37,511903976,33,367,9.16,F
19,38,511902408,31,353,7.08,F
19,39,511902896,15,250,0.62,F
19,40,511900465,12,239,0.45,F
20,1,512000616,95,739,99.14,A-
20,2,512000141,83,638,91.64,B-
20,3,512001471,76,597,83.43,C
20,4,512000286,71,572,76.48,C
20,5,512002150,70,569,75.4,C
20,6,512000085,67,557,71.79,C
20,7 = 8,512000477,66,553,70.07,C
20,7 = 8,512000576,66,553,70.07,C
20,9,512002214,65,548,68.35,C-
20,10,512002207,64,543,66.67,C-
20,11,512000563,63,539,65.11,C-
20,12,512000094,62,534,63.37,C-
20,13,512002410,61,530,61.6,C-
20,14,512001441,57,511,54.25,C-
20,15,512002221,50,472,38.77,D
20,16,512001999,49,467,36.88,D
20,17,512002200,48,460,34.33,D
20,18,512000703,42,422,21.79,D-
20,19,512000671,36,385,12.23,F
20,20,512003008,35,377,10.89,F
21,1,512100634,93,713,98.32,A-
21,2,512100209,91,694,97.36,B
21,3,512100624,85,654,93.83,B
21,4,512100865,84,647,92.93,B-
21,5,512101100,83,638,91.64,B-
21,6,512100641,81,628,89.92,B-
21,7,512100068,80,621,88.6,B-
21,8 = 10,512100254,77,604,85.13,B-
21,8 = 10,512100474,77,604,85.13,B-
21,8 = 10,512100900,77,604,85.13,B-
21,11,512100973,76,597,83.43,C
21,12,512100867,75,592,82.17,C
21,13 = 14,512101147,73,582,79.48,C
21,13 = 14,512100310,73,582,79.48,C
21,15,512101014,65,548,68.35,C-
21,16,512101116,61,530,61.6,C-
21,17,512100280,59,521,58.37,C-
21,18,512101163,58,516,56.33,C-
21,19,512100759,57,511,54.25,C-
21,20,512100689,56,506,52.51,C-
21,21 = 22,512101251,53,487,44.82,D
21,21 = 22,512100529,53,487,44.82,D
21,23,512100113,50,472,38.77,D
21,24 = 25,512100377,46,448,30.11,D-
21,24 = 25,512100777,46,448,30.11,D-
21,26,512100924,45,441,27.91,D-
21,27,512100582,42,422,21.79,D-
21,28 = 29,512100678,41,415,19.82,D-
21,28 = 29,512101338,41,415,19.82,D-
21,30,512100105,40,411,18.74,D-
21,31 = 33,512100279,37,391,13.72,F
21,31 = 33,512101482,37,391,13.72,F
21,31 = 33,512101526,37,391,13.72,F
21,34,512100117,19,275,1.2,F
22,1,512200481,86,661,94.67,B
22,2,512200601,81,628,89.92,B-
22,3,512200976,80,621,88.6,B-
22,4,512200021,77,604,85.13,B-
22,5,512200098,76,597,83.43,C
22,6,512200972,74,587,80.83,C
22,7,512200411,73,582,79.48,C
22,8 = 9,512200432,72,577,78.01,C
22,8 = 9,512200979,72,577,78.01,C
22,10,512200604,69,566,74.4,C
22,11,512200266,66,553,70.07,C
22,12,512200986,62,534,63.37,C-
22,13,512200243,58,516,56.33,C-
22,14 = 15,512200597,54,495,47.91,D
22,14 = 15,512200756,54,495,47.91,D
22,16 = 19,512200866,53,487,44.82,D
22,16 = 19,512201144,53,487,44.82,D
22,16 = 19,512200591,53,487,44.82,D
22,16 = 19,512200606,53,487,44.82,D
22,20 = 21,512201192,48,460,34.33,D
22,20 = 21,512200694,48,460,34.33,D
22,22,512200084,43,428,23.45,D-
22,23,512200008,42,422,21.79,D-
22,24,512200188,41,415,19.82,D-
22,25,512200594,39,406,17.36,D-
22,26,512200593,32,361,8.18,F
22,27,512200619,17,260,0.82,F
23,1,512801015,98,800,99.94,A
23,2 = 4,512801086,97,770,99.65,A
23,2 = 4,512503622,97,770,99.65,A
23,2 = 4,512504106,97,770,99.65,A
23,5 = 7,513002159,95,739,99.14,A-
23,5 = 7,512405808,95,739,99.14,A-
23,5 = 7,512801660,95,739,99.14,A-
23,8 = 9,512503643,94,722,98.68,A-
23,8 = 9,512703027,94,722,98.68,A-
23,10 = 11,512505113,93,713,98.32,A-
23,10 = 11,512802704,93,713,98.32,A-
23,12 = 16,512702163,92,704,97.95,A-
23,12 = 16,513101077,92,704,97.95,A-
23,12 = 16,512801218,92,704,97.95,A-
23,12 = 16,512800129,92,704,97.95,A-
23,12 = 16,512804322,92,704,97.95,A-
23,17,512901773,91,694,97.36,B
23,18,512905053,90,688,97.02,B
23,19 = 22,512404694,89,680,96.41,B
23,19 = 22,512503640,89,680,96.41,B
23,19 = 22,512702069,89,680,96.41,B
23,19 = 22,512801714,89,680,96.41,B
23,23 = 25,512502171,88,671,95.62,B
23,23 = 25,512600051,88,671,95.62,B
23,23 = 25,512404319,88,671,95.62,B
23,26 = 29,512902476,86,661,94.67,B
23,26 = 29,512503475,86,661,94.67,B
23,26 = 29,512504335,86,661,94.67,B
23,26 = 29,513100107,86,661,94.67,B
23,30 = 33,512801080,85,654,93.83,B
23,30 = 33,512801082,85,654,93.83,B
23,30 = 33,512801020,85,654,93.83,B
23,30 = 33,512901962,85,654,93.83,B
23,34 = 43,512402984,84,647,92.93,B-
23,34 = 43,512802894,84,647,92.93,B-
23,34 = 43,512803745,84,647,92.93,B-
23,34 = 43,512505996,84,647,92.93,B-
23,34 = 43,512902593,84,647,92.93,B-
23,34 = 43,512900473,84,647,92.93,B-
23,34 = 43,512801085,84,647,92.93,B-
23,34 = 43,512400580,84,647,92.93,B-
23,34 = 43,512900642,84,647,92.93,B-
23,34 = 43,512500670,84,647,92.93,B-
23,44 = 46,512903030,83,638,91.64,B-
23,44 = 46,512803327,83,638,91.64,B-
23,44 = 46,512803346,83,638,91.64,B-
23,47 = 51,512805525,82,633,90.85,B-
23,47 = 51,512400202,82,633,90.85,B-
23,47 = 51,512700799,82,633,90.85,B-
23,47 = 51,512503347,82,633,90.85,B-
23,47 = 51,512701842,82,633,90.85,B-
23,52 = 58,512801649,81,628,89.92,B-
23,52 = 58,512700790,81,628,89.92,B-
23,52 = 58,512500690,81,628,89.92,B-
23,52 = 58,512704788,81,628,89.92,B-
23,52 = 58,512704108,81,628,89.92,B-
23,52 = 58,512503387,81,628,89.92,B-
23,52 = 58,512402526,81,628,89.92,B-
23,59 = 67,512803012,80,621,88.6,B-
23,59 = 67,512702705,80,621,88.6,B-
23,59 = 67,512503449,80,621,88.6,B-
23,59 = 67,512703309,80,621,88.6,B-
23,59 = 67,512903752,80,621,88.6,B-
23,59 = 67,512903987,80,621,88.6,B-
23,59 = 67,512400423,80,621,88.6,B-
23,59 = 67,513101326,80,621,88.6,B-
23,59 = 67,512801009,80,621,88.6,B-
23,68 = 73,512500639,79,612,87.13,B-
23,68 = 73,512802208,79,612,87.13,B-
23,68 = 73,513002622,79,612,87.13,B-
23,68 = 73,512510148,79,612,87.13,B-
23,68 = 73,512905079,79,612,87.13,B-
23,68 = 73,512802777,79,612,87.13,B-
23,74 = 80,512803240,78,609,86.25,B-
23,74 = 80,512508713,78,609,86.25,B-
23,74 = 80,512903293,78,609,86.25,B-
23,74 = 80,512507398,78,609,86.25,B-
23,74 = 80,512804755,78,609,86.25,B-
23,74 = 80,512902472,78,609,86.25,B-
23,74 = 80,512801114,78,609,86.25,B-
23,81 = 88,512801068,77,604,85.13,B-
23,81 = 88,512400661,77,604,85.13,B-
23,81 = 88,512801002,77,604,85.13,B-
23,81 = 88,513101275,77,604,85.13,B-
23,81 = 88,513001075,77,604,85.13,B-
23,81 = 88,512510107,77,604,85.13,B-
23,81 = 88,512803625,77,604,85.13,B-
